99.5,76.048,2.6642
99.4,76.899,2.396
99.6,77.492,2.0596
99.4,78.22,1.8777
99.8,78.766,1.6514
100,79,1.5317
100,79.431,1.354
100,79.634,1.2586
100,80.028,1.0645
100,80.141,1.0484
94.3,65.542,5.12
95.6,67.212,4.7734
94.9,68.38,4.6058
96.7,70.143,4.3274
96.7,71.113,4.0225
97.2,72.242,3.6534
97.8,73.093,3.6258
98.3,73.862,3.3771
98,74.804,3.1176
98.9,75.682,2.7329
99,76.318,2.5422
99.1,77.098,2.3096
99.2,78.01,1.9809
99.8,78.654,1.5988
99.6,79.2,1.429
100,79.579,1.1915
100,79.809,1.163
100,80.046,0.99894
100,80.337,0.84701
100,80.406,0.81558
96,66.071,5.1699
95.5,67.444,4.6421
95.5,68.696,4.3039
98.5,70.267,4.0499
96.7,71.33,4.115
96.3,72.423,3.7577
98.4,73.488,3.3066
99,74.489,3.0773
98.1,75.05,2.8819
99.1,76.103,2.6112
98.8,76.791,2.4358
99,77.433,2.1949
99.3,78.326,1.9198
99.7,78.829,1.6204
99.9,79.443,1.2809
100,79.833,1.0785
100,80.075,0.95571
100,80.293,0.88947
100,80.507,0.7266
100,80.623,0.62998
94.9,65.927,4.874
96.2,67.294,4.8158
97,68.97,4.4588
96,69.932,4.1749
97.2,71.491,4.241
96.8,72.551,3.791
98.4,73.77,3.453
98.4,74.83,3.1143
98.1,75.425,3.0326
98,76.08,2.6298
98.7,76.968,2.3253
98.6,77.771,2.0348
99.6,78.616,1.7339
99.8,79.17,1.4188
99.9,79.732,1.1136
100,79.999,1.0672
100,80.251,0.86833
100,80.411,0.75238
100,80.59,0.69563
100,80.762,0.52854
93.3,65.694,5.0993
96.2,67.821,4.9268
97.2,69.092,4.4986
96.4,70.704,4.3516
97.4,71.503,3.9378
97.2,72.596,3.6754
97.2,73.689,3.5197
97.8,74.717,3.2136
98.9,75.707,2.761
98.3,76.442,2.6047
98.7,77.219,2.3262
99.5,78.07,1.9003
99.7,78.817,1.6283
100,79.382,1.3282
100,79.866,1.0526
100,80.156,0.92286
100,80.427,0.77632
100,80.576,0.69154
100,80.696,0.54917
100,80.851,0.40841
93.6,65.678,4.983
95.6,67.771,4.7162
96.4,69.238,4.493
97.8,70.606,4.381
98,71.547,4.089
